phase,year,all_corn,plant_date,plant_day,plot,plot_num,plot_dir,rotation,corn,crop,variety,yield_bush,yield_ton,damage,treated,treatment,notes,,measured_yield
1,1892,FALSE,1892-04-06,97,4NA,4,NW,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4NB,4,NW,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4NC,4,NE,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4ND,4,NE,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4SA,4,SW,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4SB,4,SW,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4SC,4,SE,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-04-06,97,4SD,4,SE,2,FALSE,O,New Dakota Gray,37.2,NA,NA,FALSE,none,NA,1117.029696,2759.063349
1,1892,FALSE,1892-05-28,149,5NA,5,NW,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5NB,5,NW,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5NC,5,NE,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5ND,5,NE,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5SA,5,SW,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5SB,5,SW,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5SC,5,SE,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1892,FALSE,1892-05-28,149,5SD,5,SE,3,TRUE,C,Burr's White,70.2,NA,NA,FALSE,none,NA,2107.943136,5206.619546
1,1893,TRUE,1893-05-12,132,3NA,3,NW,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3NB,3,NW,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3NC,3,NE,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3ND,3,NE,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3SA,3,SW,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3SB,3,SW,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3SC,3,SE,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-12,132,3SD,3,SE,1,TRUE,CC,Burr's White,21.7,NA,NA,FALSE,none,NA,651.600656,1609.45362
1,1893,TRUE,1893-05-13,133,4NA,4,NW,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4NB,4,NW,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4NC,4,NE,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4ND,4,NE,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4SA,4,SW,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4SB,4,SW,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4SC,4,SE,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,4SD,4,SE,2,TRUE,C,Burr's White,29.6,NA,NA,FALSE,none,NA,888.819328,2195.38374
1,1893,TRUE,1893-05-13,133,5NA,5,NW,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5NB,5,NW,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5NC,5,NE,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5ND,5,NE,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5SA,5,SW,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5SB,5,SW,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5SC,5,SE,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1893,TRUE,1893-05-13,133,5SD,5,SE,3,TRUE,C,Burr's White,34.1,NA,NA,FALSE,none,NA,1023.943888,2529.141403
1,1894,FALSE,1894-05-03,123,3NA,3,NW,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-05-03,123,3NB,3,NW,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-05-03,123,3NC,3,NE,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
