index,uniqueid,plotid,year,corn_grain_yield_kg,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture,grain_yield_Mg,lon_lat,Plotid,observed
17,NWREC,1092.0,2013,12571.0,228,M,M,M,12.571,"(-90.7272222, 40.9305556)",1092,12571.0
18,NWREC,1092.0,2011,12608.0,210,M,M,M,12.608,"(-90.7272222, 40.9305556)",1092,12608.0
19,NWREC,1092.0,2015,14437.0,216,M,M,M,14.437,"(-90.7272222, 40.9305556)",1092,14437.0
20,NWREC,1101.0,2012,7675.0,144,M,M,M,7.675,"(-90.7272222, 40.9305556)",1101,7675.0
21,NWREC,1101.0,2013,10409.0,178,M,M,M,10.409,"(-90.7272222, 40.9305556)",1101,10409.0
22,NWREC,1101.0,2011,11456.0,177,M,M,M,11.456,"(-90.7272222, 40.9305556)",1101,11456.0
23,NWREC,1101.0,2015,14972.0,213,M,M,M,14.972,"(-90.7272222, 40.9305556)",1101,14972.0
24,NWREC,1101.0,2014,14988.0,214,M,M,M,14.988,"(-90.7272222, 40.9305556)",1101,14988.0
25,NWREC,1102.0,2012,6940.0,141,M,M,M,6.94,"(-90.7272222, 40.9305556)",1102,6940.0
26,NWREC,1102.0,2013,8574.0,166,M,M,M,8.574,"(-90.7272222, 40.9305556)",1102,8574.0
27,NWREC,1102.0,2014,13634.0,274,M,M,M,13.634,"(-90.7272222, 40.9305556)",1102,13634.0
28,NWREC,1102.0,2015,15128.0,231,M,M,M,15.128,"(-90.7272222, 40.9305556)",1102,15128.0
29,NWREC,2011.0,2014,13038.0,255,M,M,M,13.038,"(-90.7272222, 40.9305556)",2011,13038.0
30,NWREC,2012.0,2011,13946.0,203,M,M,M,13.946,"(-90.7272222, 40.9305556)",2012,13946.0
31,NWREC,2012.0,2014,15124.0,216,M,M,M,15.124,"(-90.7272222, 40.9305556)",2012,15124.0
32,NWREC,2031.0,2012,8968.0,143,M,M,M,8.968,"(-90.7272222, 40.9305556)",2031,8968.0
33,NWREC,2031.0,2013,10496.0,183,M,M,M,10.496,"(-90.7272222, 40.9305556)",2031,10496.0
34,NWREC,2031.0,2011,12229.0,190,M,M,M,12.229,"(-90.7272222, 40.9305556)",2031,12229.0
35,NWREC,2031.0,2014,14468.0,222,M,M,M,14.468,"(-90.7272222, 40.9305556)",2031,14468.0
36,NWREC,2031.0,2015,15457.0,225,M,M,M,15.457,"(-90.7272222, 40.9305556)",2031,15457.0
37,NWREC,2032.0,2012,8101.0,162,M,M,M,8.101,"(-90.7272222, 40.9305556)",2032,8101.000000000001
