uniqueid,plotid,Soil sampling depth,subsample,year,sampledate,Bulk density,Water retention at 0 bar,Soil texture name,Soil pH,Cation exchange capacity (CEC),Soil organic carbon (SOC),Total nitrogen (TN),Soil nitrate,Standard soil fertility routine analysis: soil pH detected with the 1:1 H2O method,Standard soil fertility routine analysis: soil cation exchange capacity (CEC),Standard soil fertility routine analysis: soil calcium (Ca) by base saturation,Standard soil fertility routine analysis: soil magnesium (Mg) by base saturation,Standard soil fertility routine analysis: soil potassium (K) by base saturation,Standard soil fertility routine analysis: lime test index,Standard soil fertility routine analysis: soil potassium (K) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil calcium (Ca) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil magnesium (Mg) concentration measured by ammonium acetate or Mehlich-3 test,Percent sand,Percent silt,Percent clay,Water retention at 0.05 bar,Water retention at 0.1 bar,Water retention at 0.33 bar,Water retention at 15 bar
NWREC,3012,40 to 60,1,2014,M,1.2,M,M,6.8,17.32,10.8,1.0,M,M,M,M,M,M,M,54.0,2451.0,423.0,M,M,M,M,M,M,M
NWREC,1081,40 to 60,1,2014,M,1.3,M,M,7.3,17.37,11.9,0.8,M,M,M,M,M,M,M,45.0,2517.0,466.0,M,M,M,M,M,M,M
NWREC,4102,0 to 10,1,2014,M,1.24,M,M,7.6,17.37,17.9,1.4,M,M,M,M,M,M,M,194.0,2464.0,458.0,M,M,M,M,M,M,M
NWREC,1092,0 to 10,1,2014,M,1.34,M,M,7.4,17.44,29.9,2.1,M,M,M,M,M,M,M,220.0,2502.0,432.0,M,M,M,M,M,M,M
NWREC,4052,40 to 60,1,2014,M,1.33,M,M,6.8,17.58,14.5,1.2,M,M,M,M,M,M,M,53.0,2538.0,399.0,M,M,M,M,M,M,M
NWREC,3031,10 to 20,1,2011,M,1.39,0.48,silt loam,6.27,17.62,22.5,2.0,M,6.27,M,M,M,M,M,107.1,2942.6,297.4,2.0,73.0,25.0,0.43,0.42,0.41,0.116
NWREC,4102,40 to 60,1,2014,M,1.33,M,M,7.4,17.8,8.4,0.8,M,M,M,M,M,M,M,63.0,2385.0,591.0,M,M,M,M,M,M,M
NWREC,1091,40 to 60,1,2014,M,1.3,M,M,7.2,17.92,12.8,0.9,M,M,M,M,M,M,M,47.0,2587.0,485.0,M,M,M,M,M,M,M
NWREC,1072,40 to 60,1,2014,M,1.33,M,M,7.0,17.96,14.5,1.0,M,M,M,M,M,M,M,49.0,2634.0,456.0,M,M,M,M,M,M,M
NWREC,4082,20 to 40,1,2014,M,1.24,M,M,7.4,17.98,18.0,1.3,M,M,M,M,M,M,M,55.0,2750.0,396.0,M,M,M,M,M,M,M
NWREC,2012,20 to 40,1,2011,M,M,M,silty clay,6.62,18.11,28.2,1.9,M,6.62,M,M,M,M,M,92.4,2966.8,343.7,2.0,70.0,28.0,M,M,M,M
NWREC,3011,20 to 40,1,2014,M,1.29,M,M,6.4,18.2,17.3,1.2,M,M,M,M,M,M,M,54.0,2540.0,327.0,M,M,M,M,M,M,M
NWREC,4102,10 to 20,1,2011,M,1.52,0.43,silt loam,6.8,18.26,15.3,1.3,M,6.8,M,M,M,M,M,136.2,2969.5,349.2,2.0,73.0,25.0,0.42,0.41,0.41,0.121
NWREC,4092,20 to 40,1,2014,M,1.36,M,M,7.3,18.31,16.1,1.2,M,M,M,M,M,M,M,55.0,2812.0,388.0,M,M,M,M,M,M,M
NWREC,1081,40 to 60,1,2011,M,M,M,silty clay,6.38,18.35,11.5,0.9,M,6.38,M,M,M,M,M,89.3,2924.9,405.2,4.0,68.0,28.0,M,M,M,M
NWREC,1021,40 to 60,1,2014,M,1.23,M,M,6.7,18.37,14.8,1.0,M,M,M,M,M,M,M,51.0,2667.0,376.0,M,M,M,M,M,M,M
